,分词,次数
0,千玺,135
1,少年,126
2,保护,112
3,世界,110
4,冬雨,106
5,校园,105
6,希望,101
7,演技,93
8,周,91
9,陈念,81
10,演员,78
11,抄袭,78
12,说,72
13,太,63
14,里,61
15,这部,59
16,导演,57
17,想,56
18,霸凌,56
19,中,56
20,暴力,55
21,题材,55
22,两个,54
23,喜欢,53
24,哭,51
25,弟弟,51
26,青春,49
27,四字,44
28,社会,44
29,拍,43
30,生活,43
31,完,39
32,真实,38
33,高考,37
34,一部,37
35,剧情,37
36,欺凌,36
37,未来,36
38,期待,34
39,作品,34
40,表演,33
41,戏,32
42,故事,31
43,值得,31
44,做,31
45,东野,31
46,角色,30
47,成长,29
48,影片,29
49,好看,29
50,感觉,29
51,眼神,29
52,黑暗,29
53,曾国祥,28
54,主演,28
55,观众,28
56,人物,28
57,经历,27
58,情绪,27
59,镜头,26
60,青春片,26
61,现实,26
62,一种,26
63,很棒,26
64,特别,25
65,白夜,25
66,圭,24
67,吾,24
68,不错,23
69,爱,23
70,孩子,23
71,行,22
72,温柔,21
73,演,20
74,挺,20
75,表现,20
76,小说,20
77,结局,20
78,融梗,20
79,两位,19
80,惊喜,19
81,有人,19
82,两人,19
83,守护,19
84,影后,19
85,残酷,18
86,一星,18
87,压抑,18
88,剪辑,17
89,看过,17
90,关注,17
91,原创,17
92,力量,17
93,真,17
94,走,16
95,青少年,16
96,特写,16
97,救赎,16
98,脸,16
99,电影院,16
